iter	Passed	Remaining
0	1	144
1	2	117
2	3	100
3	3	87
4	4	82
5	5	78
6	5	75
7	6	73
8	7	71
9	7	70
10	8	69
11	9	69
12	10	68
13	10	67
14	11	66
15	12	64
16	13	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	58
23	18	57
24	18	56
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	31	45
41	31	43
42	32	43
43	33	42
44	34	42
45	35	41
46	36	41
47	37	40
48	37	39
49	38	38
50	39	38
51	40	37
52	41	36
53	42	35
54	42	35
55	44	34
56	45	34
57	46	33
58	47	32
59	48	32
60	49	31
61	49	30
62	50	29
63	51	29
64	53	28
65	54	27
66	54	27
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	62	20
75	63	19
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	71	11
86	73	10
87	74	10
88	76	9
89	77	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	82	3
96	82	2
97	83	1
98	84	0
99	85	0
