iter	Passed	Remaining
0	141	141237
1	143	71397
2	144	48051
3	146	36438
4	147	29436
5	149	24786
6	150	21418
7	151	18831
8	152	16810
9	153	15192
10	154	13865
11	154	12758
12	155	11821
13	156	11029
14	157	10333
15	158	9725
16	159	9195
17	159	8712
18	160	8280
19	161	7889
20	161	7539
21	162	7215
22	162	6922
23	163	6652
24	164	6403
25	164	6178
26	165	5968
27	166	5790
28	167	5611
29	168	5439
30	168	5279
31	169	5129
32	170	4987
33	170	4854
34	171	4728
35	172	4610
36	172	4495
37	173	4388
38	173	4286
39	174	4191
40	175	4101
41	176	4016
42	176	3932
43	177	3858
44	178	3782
45	178	3710
46	179	3641
47	180	3575
48	180	3509
49	181	3450
50	182	3394
51	183	3338
52	183	3284
53	184	3230
54	184	3178
55	185	3129
56	186	3080
57	186	3033
58	187	2989
59	188	2947
60	188	2905
61	189	2864
62	189	2825
63	190	2787
64	191	2750
65	191	2715
66	192	2681
67	193	2647
68	194	2618
69	194	2589
70	195	2558
71	196	2527
72	196	2498
73	197	2469
74	197	2441
75	198	2415
76	199	2388
77	199	2362
78	200	2336
79	201	2312
80	201	2290
81	202	2267
82	202	2241
83	203	2219
84	204	2197
85	204	2177
86	205	2156
87	206	2135
88	206	2115
89	207	2095
90	207	2075
91	208	2056
92	208	2038
93	209	2020
94	210	2002
95	210	1985
96	211	1968
97	212	1951
98	212	1935
99	213	1919
100	213	1903
101	214	1889
102	215	1873
103	215	1858
104	216	1844
105	216	1829
106	217	1816
107	218	1802
108	218	1788
109	219	1776
110	220	1763
111	220	1751
112	221	1739
113	222	1729
114	223	1719
115	224	1708
116	224	1696
117	225	1685
118	226	1674
119	226	1663
120	227	1652
121	227	1640
122	228	1630
123	229	1621
124	230	1611
125	230	1601
126	231	1590
127	232	1581
128	232	1572
129	233	1563
130	234	1554
131	234	1545
132	235	1536
133	236	1528
134	237	1519
135	238	1512
136	238	1504
137	239	1496
138	240	1488
139	240	1479
140	241	1472
141	242	1463
142	242	1455
143	243	1447
144	244	1440
145	245	1433
146	245	1426
147	246	1419
148	247	1412
149	248	1406
150	249	1400
151	249	1393
152	250	1387
153	251	1381
154	252	1375
155	253	1369
156	253	1363
157	254	1357
158	255	1351
159	256	1345
160	256	1338
161	257	1332
162	258	1327
163	259	1321
164	260	1316
165	260	1310
166	261	1305
167	262	1300
168	263	1295
169	264	1290
170	265	1286
171	266	1281
172	267	1276
173	268	1272
174	269	1268
175	269	1263
176	270	1259
177	271	1255
178	272	1250
179	273	1246
180	274	1242
181	275	1238
182	276	1233
183	277	1228
184	277	1223
185	278	1219
186	279	1214
187	280	1210
188	281	1205
189	281	1201
190	282	1197
191	283	1192
192	284	1188
193	285	1184
194	285	1179
195	286	1175
196	287	1171
197	288	1166
198	288	1162
199	289	1158
200	290	1153
201	291	1150
202	291	1145
203	292	1141
204	293	1137
205	294	1134
206	295	1130
207	295	1126
208	296	1122
209	297	1118
210	298	1114
211	298	1110
212	299	1107
213	300	1103
214	301	1100
215	302	1097
216	303	1095
217	304	1091
218	305	1088
219	306	1085
220	307	1082
221	308	1079
222	308	1076
223	309	1072
224	310	1069
225	311	1066
226	312	1063
227	313	1060
228	314	1057
229	315	1054
230	315	1051
231	316	1048
232	317	1044
233	318	1041
234	318	1037
235	319	1034
236	320	1031
237	321	1028
238	322	1026
239	323	1023
240	323	1020
241	324	1017
242	325	1014
243	326	1011
244	327	1009
245	328	1005
246	328	1002
247	329	999
248	330	996
249	331	993
250	332	990
251	332	988
252	333	985
253	334	983
254	335	981
255	337	979
256	338	977
257	338	974
258	339	972
259	340	969
260	341	967
261	342	964
262	343	962
263	344	959
264	345	957
265	345	954
266	346	951
267	347	948
268	347	945
269	348	942
270	349	940
271	350	937
272	350	934
273	351	931
274	352	929
275	353	926
276	354	923
277	354	921
278	355	918
279	356	916
280	357	913
281	358	911
282	358	909
283	359	907
284	360	904
285	361	902
286	362	899
287	362	897
288	363	894
289	364	891
290	365	889
291	365	887
292	366	884
293	367	882
294	368	879
295	368	877
296	369	874
297	370	872
298	370	869
299	371	867
300	372	864
301	373	862
302	373	859
303	374	857
304	375	855
305	376	853
306	376	850
307	377	848
308	378	846
309	379	844
310	379	841
311	380	839
312	381	836
313	382	834
314	382	832
315	383	830
316	384	828
317	385	826
318	386	824
319	386	821
320	387	819
321	388	817
322	388	814
323	389	812
324	390	810
325	391	808
326	391	806
327	392	804
328	393	802
329	394	800
330	394	798
331	395	796
332	396	794
333	397	792
334	397	789
335	398	787
336	399	785
337	400	783
338	400	781
339	401	779
340	402	778
341	403	776
342	404	774
343	404	772
344	405	770
345	406	768
346	407	766
347	408	764
348	408	762
349	409	760
350	410	758
351	410	756
352	411	754
353	412	752
354	413	751
355	414	749
356	414	747
357	415	745
358	416	743
359	417	741
360	417	739
361	418	737
362	419	736
363	420	734
364	421	732
365	422	731
